"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2016","3,056.00","3,105.00","3,120.00","3,042.55","333.99K","-1.69%"
"01/01/2016","3,108.60","3,118.80","3,123.00","3,090.00","171.86K","0.00%"
"31/12/2015","3,108.60","3,129.00","3,155.00","3,095.35","545.90K","-0.40%"
"30/12/2015","3,121.15","3,111.00","3,172.00","3,111.00","633.28K","0.67%"
"29/12/2015","3,100.50","3,100.00","3,147.15","3,090.00","623.33K","-0.65%"
"28/12/2015","3,120.70","3,015.00","3,129.00","3,015.00","751.91K","3.68%"
"24/12/2015","3,010.00","3,038.50","3,049.05","3,005.00","226.57K","-0.48%"
"23/12/2015","3,024.60","3,015.00","3,031.25","3,010.15","172.71K","0.78%"
"22/12/2015","3,001.10","3,020.20","3,032.00","2,995.00","190.31K","-0.28%"
"21/12/2015","3,009.45","2,983.50","3,029.50","2,962.55","366.77K","1.19%"
"18/12/2015","2,974.20","3,005.00","3,008.25","2,969.80","438.50K","-1.45%"
"17/12/2015","3,017.95","3,036.00","3,063.95","3,010.55","492.38K","0.45%"
"16/12/2015","3,004.50","3,006.90","3,043.00","2,997.35","320.81K","0.34%"
"15/12/2015","2,994.20","3,011.00","3,041.95","2,986.30","394.77K","-0.54%"
"14/12/2015","3,010.40","2,966.00","3,017.00","2,951.25","375.31K","1.39%"
"11/12/2015","2,969.00","2,995.95","3,023.95","2,951.00","485.85K","-0.88%"
"10/12/2015","2,995.30","2,994.00","3,037.70","2,966.65","687.09K","0.00%"
"09/12/2015","2,995.20","2,967.95","3,024.00","2,951.50","1.04M","-2.22%"
"08/12/2015","3,063.20","3,148.80","3,152.90","3,043.00","878.63K","-3.67%"
"07/12/2015","3,179.90","3,202.95","3,205.30","3,152.35","346.63K","-0.49%"
"04/12/2015","3,195.50","3,194.20","3,216.30","3,180.00","325.87K","-0.87%"
"03/12/2015","3,223.65","3,247.00","3,247.00","3,201.15","392.12K","-0.86%"
"02/12/2015","3,251.65","3,225.00","3,265.00","3,220.00","835.92K","1.27%"
"01/12/2015","3,210.90","3,132.00","3,224.45","3,129.50","1.18M","3.32%"
"30/11/2015","3,107.80","3,115.00","3,138.00","3,102.05","771.13K","0.27%"
"27/11/2015","3,099.30","3,130.00","3,139.95","3,047.05","1.39M","-0.05%"
"26/11/2015","3,100.75","3,150.00","3,199.90","3,081.00","2.74M","-8.47%"
"24/11/2015","3,387.70","3,399.00","3,409.00","3,350.00","321.51K","-0.63%"
"23/11/2015","3,409.25","3,360.00","3,423.80","3,360.00","567.77K","1.67%"
"20/11/2015","3,353.10","3,317.00","3,377.15","3,309.75","784.24K","2.19%"
"19/11/2015","3,281.10","3,400.00","3,405.00","3,137.85","3.81M","-2.55%"
"18/11/2015","3,366.95","3,423.00","3,434.00","3,360.00","743.53K","-2.16%"
"17/11/2015","3,441.30","3,460.00","3,471.05","3,410.10","788.42K","-1.93%"
"16/11/2015","3,509.20","3,440.00","3,525.00","3,410.00","1.31M","3.53%"
"13/11/2015","3,389.60","3,316.00","3,408.70","3,298.00","1.71M","0.88%"
"11/11/2015","3,360.05","3,283.10","3,373.00","3,253.20","573.29K","0.88%"
"10/11/2015","3,330.70","3,498.00","3,498.00","3,300.00","1.89M","-4.87%"
"09/11/2015","3,501.15","3,570.00","3,575.00","3,445.95","1.71M","-3.57%"
"06/11/2015","3,630.65","4,258.00","4,292.00","3,615.00","4.02M","-14.56%"
"05/11/2015","4,249.40","4,305.10","4,328.20","4,237.10","302.25K","-1.70%"
"04/11/2015","4,322.90","4,340.10","4,379.20","4,310.00","286.49K","-0.28%"
"03/11/2015","4,335.15","4,310.00","4,345.00","4,299.25","506.77K","0.90%"
"02/11/2015","4,296.30","4,253.00","4,315.15","4,233.20","447.52K","0.38%"
"30/10/2015","4,279.90","4,261.00","4,365.35","4,230.00","1.05M","1.39%"
"29/10/2015","4,221.35","4,114.95","4,240.00","4,083.20","1.22M","2.62%"
"28/10/2015","4,113.65","4,200.00","4,200.00","4,080.10","645.42K","-1.57%"
"27/10/2015","4,179.10","4,224.95","4,225.00","4,162.50","814.25K","-0.52%"
"26/10/2015","4,200.75","4,251.00","4,261.00","4,155.55","870.95K","0.29%"
"23/10/2015","4,188.40","4,190.00","4,197.40","4,141.35","1.46M","0.35%"
"21/10/2015","4,173.60","4,265.00","4,265.00","4,163.00","909.28K","-3.38%"
"20/10/2015","4,319.70","4,370.00","4,386.60","4,270.65","363.20K","-0.64%"
"19/10/2015","4,347.60","4,230.10","4,360.00","4,210.35","336.72K","1.94%"
"16/10/2015","4,264.95","4,206.40","4,279.55","4,160.25","203.94K","1.37%"
"15/10/2015","4,207.45","4,200.00","4,239.60","4,186.25","253.67K","0.25%"
"14/10/2015","4,196.85","4,230.00","4,260.00","4,180.05","220.29K","-0.74%"
"13/10/2015","4,228.05","4,200.00","4,252.80","4,172.70","265.97K","0.97%"
"12/10/2015","4,187.50","4,221.00","4,283.60","4,155.95","242.20K","-1.65%"
"09/10/2015","4,257.85","4,261.00","4,294.90","4,235.90","265.72K","0.77%"
"08/10/2015","4,225.20","4,224.00","4,243.95","4,201.00","328.45K","0.71%"
"07/10/2015","4,195.55","4,246.00","4,246.00","4,186.65","266.06K","-1.20%"
"06/10/2015","4,246.50","4,232.00","4,304.50","4,220.00","335.04K","1.58%"
"05/10/2015","4,180.25","4,230.00","4,230.00","4,164.25","314.50K","-1.24%"
"01/10/2015","4,232.95","4,213.75","4,250.00","4,190.00","397.24K","1.70%"
"30/09/2015","4,162.35","4,088.00","4,195.00","4,080.00","549.38K","1.98%"
"29/09/2015","4,081.45","4,138.40","4,147.05","4,020.00","515.79K","-2.62%"
"28/09/2015","4,191.25","3,992.00","4,226.90","3,970.00","914.20K","5.57%"
"24/09/2015","3,970.25","3,950.00","3,999.00","3,936.65","519.09K","0.91%"
"23/09/2015","3,934.50","3,909.70","3,957.15","3,857.00","175.69K","0.12%"
"22/09/2015","3,929.70","3,999.95","3,999.95","3,904.00","266.43K","-0.70%"
"21/09/2015","3,957.30","3,999.30","3,999.30","3,941.00","211.84K","-1.21%"
"18/09/2015","4,005.85","4,038.00","4,045.00","3,997.00","549.33K","-0.11%"
"16/09/2015","4,010.40","4,024.95","4,024.95","3,988.05","345.96K","0.12%"
"15/09/2015","4,005.50","4,030.00","4,030.00","3,980.75","361.68K","-0.92%"
"14/09/2015","4,042.70","4,021.50","4,050.00","3,977.00","413.91K","0.71%"
"11/09/2015","4,014.20","4,018.00","4,028.90","3,966.10","396.27K","1.02%"
"10/09/2015","3,973.55","4,018.05","4,019.05","3,960.00","608.98K","-1.67%"
"09/09/2015","4,041.05","4,060.00","4,076.95","3,956.70","733.62K","1.60%"
"08/09/2015","3,977.55","3,947.10","4,010.00","3,851.65","416.53K","0.79%"
"07/09/2015","3,946.50","4,080.00","4,095.00","3,930.00","225.07K","-2.62%"
"04/09/2015","4,052.85","4,200.00","4,200.00","4,025.00","365.81K","-3.71%"
"03/09/2015","4,209.20","4,234.95","4,259.45","4,195.20","209.62K","0.22%"
"02/09/2015","4,200.15","4,249.90","4,282.50","4,177.30","335.51K","-1.15%"
