"Date","Price","Open","High","Low","Vol.","Change %"
"18/06/2024","1,520.95","1,522.60","1,522.85","1,510.20","1.48M","0.33%"
"14/06/2024","1,516.00","1,513.85","1,518.00","1,505.55","937.49K","0.34%"
"13/06/2024","1,510.80","1,514.60","1,514.60","1,498.00","1.41M","0.26%"
"12/06/2024","1,506.85","1,500.00","1,514.55","1,495.85","994.78K","0.47%"
"11/06/2024","1,499.75","1,524.00","1,525.00","1,497.35","1.44M","-0.88%"
"10/06/2024","1,513.10","1,519.00","1,521.70","1,505.10","1.43M","0.41%"
"07/06/2024","1,506.85","1,479.90","1,510.10","1,472.15","3.40M","2.32%"
"06/06/2024","1,472.70","1,494.00","1,494.00","1,455.05","3.00M","-0.98%"
"05/06/2024","1,487.30","1,449.70","1,490.00","1,432.00","2.49M","4.02%"
"04/06/2024","1,429.85","1,461.60","1,476.30","1,377.20","5.06M","-1.60%"
"03/06/2024","1,453.05","1,496.50","1,498.00","1,451.00","1.86M","-0.46%"
"31/05/2024","1,459.80","1,465.00","1,479.40","1,440.00","5.50M","0.05%"
"30/05/2024","1,459.10","1,476.00","1,477.40","1,449.50","3.13M","-1.34%"
"29/05/2024","1,478.95","1,468.10","1,495.00","1,465.65","2.84M","0.96%"
"28/05/2024","1,464.90","1,468.95","1,479.10","1,455.95","2.62M","-0.08%"
"27/05/2024","1,466.05","1,486.70","1,501.00","1,460.55","3.47M","-1.39%"
"24/05/2024","1,486.70","1,504.00","1,505.70","1,477.10","5.31M","-0.56%"
"23/05/2024","1,495.10","1,510.00","1,510.00","1,467.00","11.62M","-2.87%"
"22/05/2024","1,539.30","1,547.00","1,564.00","1,505.40","3.95M","-0.11%"
"21/05/2024","1,540.95","1,530.00","1,558.30","1,524.00","1.79M","0.59%"
"18/05/2024","1,531.90","1,531.40","1,538.70","1,523.35","51.46K","0.03%"
"17/05/2024","1,531.40","1,536.00","1,537.30","1,520.15","1.34M","-0.32%"
"16/05/2024","1,536.30","1,529.00","1,541.15","1,508.30","2.68M","0.58%"
"15/05/2024","1,527.40","1,545.25","1,550.25","1,520.35","1.21M","-1.16%"
"14/05/2024","1,545.25","1,525.00","1,547.95","1,516.05","2.21M","1.32%"
"13/05/2024","1,525.05","1,513.00","1,530.00","1,502.00","1.63M","1.23%"
"10/05/2024","1,506.55","1,494.65","1,526.45","1,491.00","1.53M","0.80%"
"09/05/2024","1,494.65","1,521.20","1,529.95","1,489.80","1.48M","-1.78%"
"08/05/2024","1,521.75","1,510.00","1,525.80","1,502.25","1.03M","0.42%"
"07/05/2024","1,515.35","1,535.95","1,543.15","1,510.10","1.53M","-0.90%"
"06/05/2024","1,529.15","1,518.00","1,534.00","1,508.75","1.24M","1.19%"
"03/05/2024","1,511.15","1,527.00","1,537.00","1,501.50","3.18M","-0.52%"
"02/05/2024","1,519.00","1,503.00","1,530.00","1,502.00","2.49M","1.13%"
"30/04/2024","1,502.10","1,527.00","1,529.15","1,497.00","1.99M","-1.28%"
"29/04/2024","1,521.60","1,516.00","1,527.80","1,510.05","1.09M","1.00%"
"26/04/2024","1,506.55","1,531.00","1,532.00","1,500.05","1.79M","-0.89%"
"25/04/2024","1,520.15","1,490.00","1,527.30","1,488.65","3.85M","2.32%"
"24/04/2024","1,485.75","1,484.65","1,503.00","1,479.35","4.65M","0.07%"
"23/04/2024","1,484.65","1,562.00","1,562.45","1,477.70","9.16M","-3.60%"
"22/04/2024","1,540.10","1,528.45","1,548.00","1,521.95","1.68M","1.14%"
"19/04/2024","1,522.80","1,505.00","1,528.30","1,503.70","2.54M","0.42%"
"18/04/2024","1,516.40","1,545.55","1,545.55","1,506.45","3.27M","-1.38%"
"16/04/2024","1,537.55","1,535.00","1,543.30","1,525.15","2.06M","-0.16%"
"15/04/2024","1,540.05","1,517.60","1,544.10","1,503.80","2.47M","0.00%"
"12/04/2024","1,540.00","1,595.00","1,595.00","1,534.00","8.26M","-3.99%"
"10/04/2024","1,604.05","1,603.05","1,608.50","1,583.75","1.93M","0.09%"
"09/04/2024","1,602.55","1,601.00","1,608.85","1,591.95","1.39M","0.18%"
"08/04/2024","1,599.70","1,611.00","1,618.90","1,597.00","1.17M","-0.58%"
"05/04/2024","1,609.00","1,611.00","1,638.85","1,606.10","1.55M","-0.64%"
"04/04/2024","1,619.35","1,620.90","1,628.00","1,587.15","2.44M","-0.03%"
"03/04/2024","1,619.85","1,609.00","1,628.95","1,594.20","2.10M","-0.15%"
"02/04/2024","1,622.25","1,629.25","1,633.00","1,609.90","1.92M","-0.43%"
"01/04/2024","1,629.25","1,631.60","1,633.75","1,618.50","1.15M","0.54%"
"28/03/2024","1,620.55","1,609.95","1,634.00","1,607.95","4.43M","1.02%"
"27/03/2024","1,604.15","1,602.00","1,626.15","1,592.10","2.53M","0.38%"
"26/03/2024","1,598.10","1,595.05","1,614.70","1,593.10","3.65M","-0.67%"
