"Date","Price","Open","High","Low","Vol.","Change %"
"27/03/2023","889.30","881.05","891.35","876.05","3.99M","1.37%"
"24/03/2023","877.25","869.10","879.00","866.15","3.17M","0.94%"
"23/03/2023","869.10","868.00","870.90","861.25","1.87M","0.66%"
"22/03/2023","863.40","864.00","866.00","852.00","1.62M","0.12%"
"21/03/2023","862.35","866.80","872.40","860.60","888.44K","-0.50%"
"20/03/2023","866.70","874.05","876.90","861.80","997.83K","-0.84%"
"17/03/2023","874.05","887.35","888.40","870.00","2.21M","-1.06%"
"16/03/2023","883.45","881.00","890.00","876.75","2.02M","0.63%"
"15/03/2023","877.95","875.00","883.40","872.60","1.29M","0.68%"
"14/03/2023","872.05","873.00","883.70","853.85","2.44M","-0.31%"
"13/03/2023","874.80","882.60","889.10","872.15","1.70M","-0.73%"
"10/03/2023","881.20","879.15","884.60","871.30","1.72M","-0.06%"
"09/03/2023","881.75","877.25","896.85","877.00","6.18M","0.51%"
"08/03/2023","877.25","883.70","883.80","871.10","2.93M","-0.41%"
"06/03/2023","880.90","885.00","885.55","869.05","4.09M","0.26%"
"03/03/2023","878.65","891.00","892.00","877.00","1.89M","-0.88%"
"02/03/2023","886.45","901.95","903.00","884.50","1.89M","-1.46%"
"01/03/2023","899.60","907.80","910.25","896.00","3.50M","-0.75%"
"28/02/2023","906.40","945.90","945.90","903.10","5.38M","-4.61%"
"27/02/2023","950.20","965.60","968.60","948.65","1.38M","-1.21%"
"24/02/2023","961.80","961.10","966.00","955.00","1.59M","0.16%"
"23/02/2023","960.30","965.00","967.45","956.00","1.22M","-0.23%"
"22/02/2023","962.55","966.60","972.80","959.05","1.60M","-0.35%"
"21/02/2023","965.95","969.80","979.10","963.50","2.04M","0.20%"
"20/02/2023","964.00","998.00","998.00","955.25","5.83M","-6.02%"
"17/02/2023","1,025.75","1,035.50","1,035.75","1,021.15","1.51M","-0.94%"
"16/02/2023","1,035.50","1,031.75","1,038.00","1,028.35","667.27K","0.46%"
"15/02/2023","1,030.80","1,026.85","1,033.45","1,016.10","662.92K","0.24%"
"14/02/2023","1,028.35","1,026.70","1,032.45","1,017.60","759.42K","0.63%"
"13/02/2023","1,021.95","1,036.00","1,040.60","1,019.00","1.04M","-1.09%"
"10/02/2023","1,033.20","1,021.00","1,036.85","1,015.05","1.11M","1.15%"
"09/02/2023","1,021.50","1,025.30","1,044.60","1,020.00","1.33M","-1.69%"
"08/02/2023","1,039.10","1,035.00","1,041.20","1,019.15","746.86K","0.76%"
"07/02/2023","1,031.30","1,029.80","1,034.85","1,021.30","965.32K","0.15%"
"06/02/2023","1,029.80","1,020.00","1,033.60","1,010.15","979.04K","0.73%"
"03/02/2023","1,022.30","1,022.00","1,027.80","1,010.50","1.62M","-0.29%"
"02/02/2023","1,025.30","1,026.10","1,032.80","1,017.30","1.29M","-0.65%"
"01/02/2023","1,032.05","1,019.00","1,035.90","1,015.10","1.60M","1.39%"
"31/01/2023","1,017.95","1,043.00","1,043.00","1,007.50","2.71M","-1.59%"
"30/01/2023","1,034.40","1,057.00","1,057.00","1,028.50","2.12M","-1.23%"
"27/01/2023","1,047.25","1,023.25","1,072.95","1,023.25","2.95M","1.16%"
"25/01/2023","1,035.25","1,064.90","1,068.25","1,020.00","2.23M","-2.53%"
"24/01/2023","1,062.15","1,065.00","1,074.90","1,055.05","712.63K","-0.04%"
"23/01/2023","1,062.55","1,053.40","1,064.25","1,050.70","750.58K","0.86%"
"20/01/2023","1,053.45","1,067.00","1,067.00","1,050.45","954.23K","-1.07%"
"19/01/2023","1,064.85","1,063.50","1,069.60","1,058.55","376.95K","0.14%"
"18/01/2023","1,063.40","1,068.90","1,072.00","1,059.35","1.30M","-0.53%"
"17/01/2023","1,069.10","1,062.80","1,071.10","1,053.35","762.94K","0.90%"
"16/01/2023","1,059.60","1,070.50","1,074.70","1,051.00","825.31K","-0.76%"
"13/01/2023","1,067.75","1,064.00","1,070.60","1,053.25","1.09M","0.62%"
"12/01/2023","1,061.15","1,052.80","1,064.10","1,043.15","1.19M","1.29%"
"11/01/2023","1,047.60","1,078.70","1,083.95","1,043.00","2.17M","-2.88%"
"10/01/2023","1,078.70","1,086.50","1,090.25","1,074.85","594.43K","-0.80%"
"09/01/2023","1,087.45","1,081.75","1,096.95","1,076.90","893.44K","1.03%"
"06/01/2023","1,076.35","1,088.35","1,093.10","1,073.50","824.77K","-1.10%"
"05/01/2023","1,088.35","1,075.00","1,093.20","1,067.40","1.61M","2.01%"
"04/01/2023","1,066.90","1,078.95","1,081.95","1,063.95","1.37M","-0.84%"
"03/01/2023","1,075.90","1,070.05","1,080.95","1,066.40","952.23K","0.46%"
"02/01/2023","1,070.95","1,080.25","1,082.00","1,063.85","895.05K","-0.46%"
"30/12/2022","1,075.95","1,094.95","1,095.00","1,073.50","1.19M","-1.07%"
"29/12/2022","1,087.55","1,086.00","1,098.00","1,070.00","1.63M","0.16%"
"28/12/2022","1,085.80","1,094.00","1,103.15","1,084.10","872.94K","-0.92%"
"27/12/2022","1,095.85","1,094.05","1,104.90","1,090.10","1.21M","-0.06%"
"26/12/2022","1,096.50","1,127.00","1,135.00","1,094.00","1.28M","-2.02%"
"23/12/2022","1,119.15","1,121.00","1,146.95","1,113.20","2.77M","-0.29%"
"22/12/2022","1,122.45","1,135.00","1,147.35","1,117.05","2.07M","-0.49%"
"21/12/2022","1,128.00","1,096.10","1,130.00","1,085.65","3.22M","3.38%"
"20/12/2022","1,091.15","1,096.00","1,097.40","1,088.45","795.75K","-0.50%"
"19/12/2022","1,096.65","1,090.35","1,100.50","1,084.45","779.33K","0.67%"
"16/12/2022","1,089.40","1,096.30","1,108.00","1,086.10","1.31M","-1.13%"
"15/12/2022","1,101.80","1,111.20","1,118.10","1,099.35","710.48K","-0.98%"
"14/12/2022","1,112.70","1,114.00","1,119.00","1,106.15","1.01M","0.25%"
"13/12/2022","1,109.90","1,096.95","1,112.50","1,088.20","1.28M","1.19%"
