"Date","Price","Open","High","Low","Vol.","Change %"
"20/03/2024","18,361.40","18,463.10","18,497.65","18,189.95","19.09M","-0.24%"
"19/03/2024","18,405.65","18,820.85","18,833.35","18,370.30","17.05M","-2.17%"
"18/03/2024","18,814.35","18,713.40","18,851.70","18,637.35","16.47M","0.51%"
"15/03/2024","18,718.45","18,876.80","18,916.20","18,588.85","25.16M","-0.95%"
"14/03/2024","18,897.10","18,632.05","18,919.60","18,517.60","21.83M","1.40%"
"13/03/2024","18,635.70","18,961.20","19,022.20","18,495.00","25.03M","-1.70%"
"12/03/2024","18,958.70","19,219.30","19,322.55","18,910.65","17.06M","-1.27%"
"11/03/2024","19,202.05","19,313.20","19,397.25","19,173.80","21.48M","0.04%"
"07/03/2024","19,194.10","19,158.15","19,277.70","19,123.10","22.68M","0.28%"
"06/03/2024","19,140.00","19,022.90","19,172.35","18,811.30","22.86M","0.64%"
"05/03/2024","19,018.50","18,965.25","19,033.00","18,833.85","17.57M","0.31%"
"04/03/2024","18,960.20","18,933.90","19,158.70","18,933.70","35.84M","0.29%"
"02/03/2024","18,905.55","18,931.55","18,978.30","18,884.65","2.59K","0.44%"
"01/03/2024","18,822.30","19,058.00","19,060.45","18,796.90","22.11M","-0.95%"
"29/02/2024","19,003.15","18,930.65","19,056.45","18,761.25","30.62M","0.32%"
"28/02/2024","18,942.55","19,094.40","19,112.05","18,874.55","18.65M","-0.64%"
"27/02/2024","19,064.20","18,946.45","19,075.85","18,897.45","21.57M","0.57%"
"26/02/2024","18,956.45","19,065.05","19,119.30","18,797.25","21.96M","-0.48%"
"23/02/2024","19,048.40","18,984.95","19,134.80","18,957.75","17.35M","0.42%"
"22/02/2024","18,969.45","18,999.85","19,002.85","18,755.65","16.43M","0.28%"
"21/02/2024","18,916.45","19,015.75","19,061.35","18,830.10","19.92M","-0.40%"
"20/02/2024","18,993.00","19,059.55","19,076.80","18,802.20","30.85M","-0.23%"
"19/02/2024","19,037.70","18,938.70","19,079.30","18,897.20","49.98M","0.88%"
"16/02/2024","18,870.80","18,648.50","18,958.85","18,621.00","58.21M","1.63%"
"15/02/2024","18,567.70","18,627.70","18,694.25","18,516.25","24.88M","-0.09%"
"14/02/2024","18,584.35","18,714.45","18,715.70","18,398.30","25.48M","-0.90%"
"13/02/2024","18,753.95","18,705.15","18,780.05","18,619.35","23.25M","0.45%"
"12/02/2024","18,669.55","18,685.65","18,850.30","18,605.20","34.56M","0.28%"
"09/02/2024","18,617.10","18,569.15","18,666.20","18,391.20","38.49M","0.52%"
"08/02/2024","18,520.30","18,716.75","18,729.65","18,493.55","25.85M","-0.24%"
"07/02/2024","18,564.85","18,597.85","18,640.80","18,440.65","32.26M","0.42%"
"06/02/2024","18,488.05","18,301.30","18,533.70","18,286.90","43.96M","1.07%"
"05/02/2024","18,292.95","18,034.20","18,379.80","17,979.55","35.02M","1.79%"
